Manuscript ID,Manuscript Title,Manuscript Type,Author Names,Submission Date,Published after
RCSJ-2015-7001,Work-based Assessments: Results of a Core Surgical Trainee Survey,Original research – Bulletin (non-clinical),"Ryan, Daniel; Kar, Ashok; Jones, Simon; Rangan, Amar",2015,2015
RCSJ-2015-7002,Factors influencing infection in 10-years of battlefield open tibia fractures,Original research – Annals (clinical),"Penn-Barwell, Jowan; Bennett, Philippa; Mortiboy, Deborah; Fries, C; Groom, A; Sargeant, Ian",2015,2015
RCSJ-2015-7003,Are Outpatient Commissioning Targets Appropriate For A Tertiary Paediatric Surgery Centre And Can 'Virtual' Telephone Clinics Reduce The Requirement For Face-To-Face Follow Up Appointments? A Prospective Complete Audit Cycle.,Original research – Bulletin (non-clinical),"Adams, Charlotte; Burnand, Katherine; Luk, Shin Yee; Farrugia, Marie-Klaire; Rahman, Nisha; Nataraja, Ram; Haddad, Munther; Sherwood, William; de Caluwe, Diane; Clarke, Simon",2015,2015
RCSJ-2015-7004,Surgery on Pancreatic necrosis- challenges & outcomes,Technical papers,"Chattoraj, Ashok",2015,2015
RCSJ-2015-7005.R1,Does chronicity of symptoms due to lumbar disc prolapse affect the outcome of lumbar nerve root blocks?,Original research – Annals (clinical),"Brooks, Francis; Ahuja, Sashin; James, Stuart",2015,2015
RCSJ-2015-7006,INJECTION TECHNIQUE FOR THUMB TRAPEZIOMETACARPAL JOINT,Technical papers,"Ashraf, Muhammad; Kanvinde, Raghunandan",2015,2015
RCSJ-2015-7007,Transinguinal laparoscopy during emergency open inguinal hernia repair,Technical papers,"Waterland, Peter; Bone, Lara; Zilvetti, Miguel",2015,2015
RCSJ-2015-7008,"An Easier, Better and a Safer Approach to Mastectomy and Immediate Breast Reconstruction.",Technical papers,"Eley, Catherine; Chopra, Sharat; Muralikrishnan, Vummiti",2015,2015
RCSJ-2015-7009,Clostridium Difficile Associated Diarrhoea (CDAD) in Primary Joint Arthroplasty in Aneurin Bevan University Health Board (South),Original research – Annals (clinical),"Blocker, Oliver; Adbulkadir, Usman; Roberts, Paul",2015,2015
RCSJ-2015-7010,Successful introduction of a robot system to multidisciplinary clinical routine in an university hospital – experiences gained by the surgical team,Technical papers,"Egberts, Jan-Hendrik; Aselmann, Heiko; Carstens, Arne; Naumann, Carsten; Alkatout, Ibrahim; Osmonov, Daniar; Jünemann, Klaus-Peter",2015,2015
RCSJ-2015-7011,"Oesophageal Gastrointestinal Stromal Tumour and Hiatus Hernia; a diagnostic dilemma and laparoscopic resection.
Case report and literature review.",Case reports,"Elshaer, Mohamed; Das, Sekhar; Khan, Huma; Al-Bahrani, Ahmed",2015,2015
RCSJ-2015-7012,Liposuction and Open Surgical Excision of Gynaecomastia provide the best possible results,Technical papers,"Chopra, Sharat; Blake, Paul; Johnson, Richard; Muralikrishnan, Vummiti",2015,2015
RCSJ-2015-7013,Laparoscopic “sleeve” caecectomy for idiopathic solitary caecal ulcer mimicking appendicitis,Case reports,"Sran, Harkiran; Sebastian, Joseph; Doughan, Samer",2015,2015
RCSJ-2015-7014,An assessment of potential ischaemia and neuropathy with a cost-effective intraoperative traction technique during shoulder arthroscopy,Original research – Annals (clinical),"Adam, John; Talbot, Chris; Holt, Edward",2015,2015
